No,Name,PTI-IND,PML-N,PPP,JIP,Total Votes,Filename
265,Islamabad Model School (I-V) Cafe Irum Market  G-6/2 Islamabad (Female),297,74,12,21,,
266,Islamabad Model School (I-V) Cafe Irum Market  G-6/2 Islamabad (Male),252,93,20,13,,
267,Islamabad Model School (I-V) Cafe Irum Market  G-6/2 Islamabad (Female),201,40,7,9,,
268,"Islamabad Model School (I-VIII) G-6/2, Islamabad. (Male)",418,174,72,22,,
269,"Islamabad Model School (I-VIII) G-6/2, Islamabad. (Female)",331,110,34,21,,
270,"Islamabad College for Boys, (Post Graduate), G-6/3, Islamabad. (Combined)",286,64,10,19,,
271,"Islamabad College for Boys, (Post Graduate), G-6/3, Islamabad.  (Male)",312,118,16,10,,
272,"Islamabad College for Boys, (Post Graduate), G-6/3, Islamabad.  (Female)",268,66,12,14,,
273,"Islamabad Model College for Boys (VI-X), G-6/4, Islamabad. (Male)",416,137,29,18,,
274,"Islamabad Model College for Boys (VI-X), G-6/4, Islamabad. (Female)",366,81,19,19,,
275,"Islamabad Model School, (I-V)  G-6/1-1, Near Mobeen Masjid, Islamabad. (Male)",460,182,93,27,,
276,"Islamabad Model School, (I-V)  G-6/1-1, Near Mobeen Masjid, Islamabad. (Female)",418,126,54,11,,
277,"Islamabad Model College for Girls (VI-XII), G-6/1-4, Near Utillity Store, Islamabad. (",439,193,53,43,,
278,"Islamabad Model College for Girls (VI-XII), G-6/1-4, Near Utillity Store, Islamabad. (F",326,130,28,26,,
279,"Islambad Model  School (I-V) G-6/1-4, Near Madina Masjid, Islamabad. (Male)",416,201,65,37,,
